,t
2058,7.78
2059,7.79
2060,7.79
2061,7.8
2062,7.8
2063,7.79
2064,7.75
2065,7.72
2066,7.69
2067,7.67
2068,7.65
2069,7.63
2070,7.6
2071,7.58
2072,7.56
2073,7.55
2074,7.41
2075,7.41
2076,7.42
2077,7.58
2078,7.61
2079,7.61
2080,7.63
2081,7.66
2082,7.7
2083,7.73
2084,7.76
2085,7.76
2086,7.75
2087,7.75
2088,7.75
2089,7.75
2090,7.75
2091,7.75
2092,7.74
2093,7.73
2094,7.71
2095,7.71
2096,7.7
2097,7.71
2098,7.72
2099,7.74
2100,7.77
2101,7.79
2102,7.82
2103,7.85
2104,7.88
2105,7.91
2106,7.97
2107,8.03
2108,8.07
2109,8.08
2110,8.06
2111,8.03
2112,8.0
2113,7.98
2114,7.96
2115,7.95
2116,7.94
2117,7.94
2118,7.92
2119,7.91
2120,7.91
2121,7.91
2122,7.91
2123,7.9
2124,7.9
2125,7.91
2126,7.94
2127,7.98
2128,8.03
2129,8.08
2130,8.09
2131,8.09
2132,8.09
2133,8.09
2134,8.09
2135,8.08
2136,8.07
2137,8.06
2138,8.05
2139,8.05
